Operation time,Airline,Flight Num,Departure Airport,Arrival Airport ,Terminal,Departure / Arrival ,Origin Date,CodeContext
2024-05-24 19:26:00,AH,6039A,BLJ,ALG,1,Arrival,2024-05-24,ONB
2024-05-25 0:30:00,AH,6142,ALG,AZR,1,Departure,2024-05-24,DEL
2024-05-24 20:38:00,AH,6217,OGX,ALG,1,Arrival,2024-05-24,ONB
2024-05-24 22:55:00,AH,6294,ALG,DJG,1,Departure,2024-05-24,BST
2024-05-24 19:55:00,AH,2001,PMI,ALG,4,Arrival,2024-05-24,SCT
2024-05-24 20:25:00,AH,6227,HME,ALG,1,Arrival,2024-05-24,DX
2024-05-25 0:15:00,AH,6298,ALG,INZ,1,Departure,2024-05-24,SCT
2024-05-24 23:55:00,AH,6146A,ALG,TIN,1,Departure,2024-05-24,SCT
2024-05-25 0:15:00,AH,6225,HME,ALG,1,Arrival,2024-05-24,DEL
2024-05-25 18:55:00,AH,6185,ORN,ALG,1,Arrival,2024-05-25,ONB
2024-05-24 4:00:00,AH,3015,IST,ALG,4,Arrival,2024-05-24,ONB
2024-05-25 4:25:00,AZ,803,ALG,FCO,4,Departure,2024-05-25,OFB
2024-05-25 7:05:00,AF,1355,ALG,CDG,4,Departure,2024-05-25,OFB
2024-05-25 6:00:00,TO,7337,ALG,MPL,4,Departure,2024-05-25,OFB
2024-05-25 17:45:00,AH,460,ALG,JED,2,Departure,2024-05-25,OFB
2024-05-25 14:45:00,AH,482,ALG,JED,2,Departure,2024-05-25,OFB
2024-05-25 13:34:00,SV,341,JED,ALG,4,Arrival,2024-05-25,ONB
2024-05-25 15:35:00,SV,3360,ALG,MED,2,Departure,2024-05-25,OFB
2024-05-25 0:45:00,TK,656,ALG,IST,4,Departure,2024-05-25,OFB
2024-05-25 2:30:00,LH,1319,ALG,FRA,4,Departure,2024-05-25,OFB
2024-05-25 12:11:00,SF,1937,CZL,ALG,1,Arrival,2024-05-25,ONB
2024-05-25 18:55:00,SF,1841,CZL,ALG,1,Arrival,2024-05-25,ONB
2024-05-25 23:30:00,AF,1354,CDG,ALG,4,Arrival,2024-05-25,SCT
2024-05-25 15:45:00,EK,758,ALG,DXB,4,Departure,2024-05-25,OFB
2024-05-25 13:11:00,EK,757,DXB,ALG,4,Arrival,2024-05-25,ONB
2024-05-25 16:05:00,SF,1155,HME,ALG,1,Arrival,2024-05-25,ONB
2024-05-25 6:36:00,AF,7546,TLS,ALG,4,Arrival,2024-05-25,ONB
2024-05-25 7:55:00,AF,7547,ALG,TLS,4,Departure,2024-05-25,OFB
2024-05-25 16:08:00,AF,1754,CDG,ALG,4,Arrival,2024-05-25,ONB
2024-05-25 17:50:00,AF,1755,ALG,CDG,4,Departure,2024-05-25,OFB
2024-05-25 18:21:00,SF,1401,KRECHBA,ALG,1,Arrival,2024-05-25,ONB
